id	region_id	timestamp	type	participants	vehicles	victims	fatalities	city	street	house	road	km	m	places	problems	reasons
171556166	80512	2015-06-08 17:05:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул Таращанцев	41				Нерегулируемый пешеходный переход	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Неправильное применение, плохая видимость дорожных знаков	Водитель: Нарушение правил проезда пешеходного перехода
171604667	80512	2015-06-07 06:40:00	Наезд на препятствие	2	1	2	0	г Волгоград	ул 64 Армии	143				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Нарушения в размещении наружной рекламы	Водитель: Другие нарушения ПДД водителем
172446294	80512	2015-06-07 20:40:00	Столкновение	2	2	1	0	г Волгоград	ул 64 Армии	112				Регулируемый перекресток		Водитель: Несоблюдение очередности проезда
171312010	80512	2015-06-06 14:10:00	Наезд на препятствие	2	1	2	0	г Волгоград	ул им Шурухина	0				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем
171351565	80512	2015-06-06 12:40:00	Столкновение	3	2	1	0	г Волгоград			автомобильная дорога Волгоград – Октябрьский – Котельниково – Зимовники – Сальск (в границах терри	8	0	Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Нарушение правил перестроения
171609489	80512	2015-06-06 19:50:00	Наезд на пешехода	2	1	2	0	г Волгоград	ул Колосовая	00				Перегон (нет объектов на месте ДТП)		Пешеход: Иные нарушения
171145332	80512	2015-06-05 11:25:00	Наезд на стоящее ТС	3	2	0	1	г Волгоград	пр-кт им Маршала Советского Союза Г.К.Жукова	169а				Перегон (нет объектов на месте ДТП)		Водитель: Другие нарушения ПДД водителем
171163066	80512	2015-06-05 15:05:00	Столкновение	3	2	2	0	г Волгоград	ул им Менделеева	236				Нерегулируемый перекрёсток неравнозначных улиц (дорог)		Водитель: Несоблюдение очередности проезда
171522194	80512	2015-06-04 07:30:00	Столкновение	2	2	1	0	г Волгоград	ул 40 лет ВЛКСМ	60				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Неправильный выбор дистанции
171085911	80512	2015-06-04 12:50:00	Столкновение	2	2	1	0	г Волгоград	ул им Рокоссовского	100				Перегон (нет объектов на месте ДТП)		Водитель: Выезд на полосу встречного движения с разворотом, поворотом налево или объездом препятствия
